"","YEAR","INJURY","AUTOMOBILE","ALCOHOL"
"251",2008,"Major","Yes","Yes"
"252",2008,"Major","Yes","Yes"
"253",2008,"Major","Yes","Yes"
"254",2009,"Fatal","Yes","Yes"
"255",2009,"Major","Yes","Yes"
"256",2009,"Minor","Yes","Yes"
"257",2009,"Minimal","Yes","Yes"
"258",2009,"Major","Yes","Yes"
"259",2009,"None","Yes","Yes"
"260",2009,"Minimal","Yes","Yes"
"261",2009,"Major","Yes","Yes"
"262",2008,"None","Yes","Yes"
"263",2008,"Major","Yes","Yes"
"264",2009,"Major","Yes","Yes"
"265",2009,"None","Yes","Yes"
"266",2009,"None","Yes","Yes"
"267",2009,"None","Yes","Yes"
"268",2009,"None","Yes","Yes"
"269",2009,"Major","Yes","Yes"
"270",2009,"Major","Yes","Yes"
"271",2009,"None","Yes","Yes"
"272",2009,"Minimal","Yes","Yes"
"273",2009,"None","Yes","Yes"
"274",2009,"None","Yes","Yes"
"275",2009,"None","Yes","Yes"
"276",2009,"Fatal","Yes","Yes"
"277",2009,"Major","Yes","Yes"
"278",2009,"Minor","Yes","Yes"
"279",2009,"Major","Yes","Yes"
"280",2009,"None","Yes","Yes"
"281",2009,"Major","Yes","Yes"
"282",2009,"Fatal","Yes","Yes"
"283",2009,"None","Yes","Yes"
"284",2009,"Minor","Yes","Yes"
"285",2009,"Major","Yes","Yes"
"286",2009,"None","Yes","Yes"
"287",2009,"Major","Yes","Yes"
"288",2009,"None","Yes","Yes"
"289",2009,"Major","Yes","Yes"
"290",2010,"Major","Yes","Yes"
"291",2010,"Minor","Yes","Yes"
"292",2010,"Minimal","Yes","Yes"
"293",2010,"None","Yes","Yes"
"294",2010,"Minimal","Yes","Yes"
"295",2010,"None","Yes","Yes"
"296",2010,"None","Yes","Yes"
"297",2010,"Minor","Yes","Yes"
"298",2009,"Major","Yes","Yes"
"299",2009,"Major","Yes","Yes"
"300",2009,"Major","Yes","Yes"
"301",2009,"Major","Yes","Yes"
"302",2010,"Major","Yes","Yes"
"303",2010,"Major","Yes","Yes"
"304",2009,"Major","Yes","Yes"
"305",2009,"Major","Yes","Yes"
"306",2009,"Major","Yes","Yes"
"307",2009,"None","Yes","Yes"
"308",2009,"Major","Yes","Yes"
"309",2010,"Major","Yes","Yes"
"310",2009,"None","Yes","Yes"
"311",2010,"None","Yes","Yes"
"312",2009,"None","Yes","Yes"
"313",2009,"None","Yes","Yes"
"314",2009,"None","Yes","Yes"
"315",2009,"None","Yes","Yes"
"316",2009,"Major","Yes","Yes"
"317",2009,"Fatal","Yes","Yes"
"318",2009,"Major","Yes","Yes"
"319",2009,"Fatal","Yes","Yes"
"320",2009,"Fatal","Yes","Yes"
"321",2009,"Minor","Yes","Yes"
"322",2010,"None","Yes","Yes"
"323",2010,"Major","Yes","Yes"
"324",2010,"Major","Yes","Yes"
"325",2010,"None","Yes","Yes"
"326",2009,"Major","Yes","Yes"
"327",2010,"None","Yes","Yes"
"328",2010,"None","Yes","Yes"
"329",2010,"Major","Yes","Yes"
"330",2010,"Major","Yes","Yes"
"331",2010,"Minor","Yes","Yes"
"332",2010,"Major","Yes","Yes"
